#{"t_start": 1735016675.688494, "env_id": "Walker2d-v5"}
r,l,t
302.668361,159,192.34704
421.576875,223,193.217583
387.07408,203,193.982247
340.075279,188,194.693788
659.908319,298,195.816187
363.410476,175,196.472656
437.100688,245,197.392931
340.979848,158,197.997433
356.206794,190,198.714337
48.363067,74,198.995284
327.493523,156,199.584569
638.482627,301,200.746232
552.550064,263,201.735671
988.78503,413,203.298862
509.497904,345,204.60656
338.748327,166,205.236415
549.147853,226,206.091159
437.263168,243,207.018263
343.705332,219,207.847666
485.011797,313,209.038263
668.791794,285,210.123253
357.216035,194,210.885389
422.429122,217,211.706893
407.65096,213,212.528697
72.536437,209,213.327762
342.569981,161,213.936911
212.455079,118,214.38536
325.540944,174,215.047535
303.40013,156,215.637197
341.577615,175,216.298431
430.563251,208,217.083776
337.690483,179,217.811526
369.050363,209,218.627126
271.188836,141,219.19406
309.200298,185,219.910147
344.12306,587,222.187466
374.238157,205,222.974416
374.750811,192,223.700056
568.204698,225,224.582542
500.237115,305,225.77676
399.916109,194,226.510494
648.237983,260,227.499227
841.477062,617,229.83215
388.876788,208,230.619647
415.968775,221,231.475342
736.958754,320,232.686085
785.02705,326,233.92901
557.493383,246,234.864188
693.810696,480,236.689308
605.261677,275,237.735949
538.209019,340,239.044924
366.797231,200,239.809444
830.44681,290,240.949671
565.571349,226,241.822567
518.695782,245,242.75657
672.647097,293,243.882046
430.690404,220,244.724804
502.874966,328,245.974374
475.134824,243,246.897637
485.41181,253,247.859678
505.309313,244,248.796372
530.695562,220,249.675559
478.641361,298,250.830796
408.851858,175,251.542967
477.424167,220,252.396551
629.573358,286,253.51379
473.597435,219,254.364282
344.245568,168,255.006205
720.766351,302,256.152708
412.778437,189,256.872483
487.295448,189,257.586276
668.636251,295,258.71116
460.421835,242,259.629235
424.199192,213,260.436356
539.962768,226,261.305489
562.335015,247,262.261622
413.824802,190,262.998032
652.933582,280,264.076871
507.639415,243,265.00814
457.596827,203,265.786584
667.354751,244,266.718208
699.037133,282,267.797431
407.100281,185,268.514484
433.267541,187,269.233492
525.680274,207,270.025478
419.435083,218,270.861723
452.362841,261,271.883028
445.010857,271,272.929199
472.775134,213,273.749616
541.584765,240,274.670204
397.43676,174,275.339653
846.498297,382,276.806271
408.73426,191,277.537626
435.920524,196,278.294849
824.39713,328,279.551112
129.425351,76,279.843447
525.481279,203,280.622374
445.478973,210,281.426803
134.91313,176,282.123855
374.196061,161,282.743331
506.609843,244,283.69416
416.497164,215,284.520161
428.824677,186,285.232354
493.823509,226,286.101622
660.432708,270,287.13565
529.926722,226,288.006156
500.067739,219,288.848525
227.287024,115,289.291557
440.821084,187,290.011874
484.784908,211,290.823492
478.543316,275,291.900232
442.323662,255,292.882646
730.900209,361,294.276271
350.908646,179,294.967604
400.543035,201,295.742269
392.893478,201,296.514752
525.962774,247,297.463493
391.210602,160,298.087789
791.230346,388,299.579284
497.097017,221,300.434989
431.170163,215,301.262058
352.347242,163,301.888826
575.011198,236,302.82043
380.827613,175,303.502472
496.537885,181,304.197578
736.21729,265,305.215582
689.196503,493,307.10406
637.081096,262,308.116762
613.945205,222,308.970137
538.478322,256,309.951687
488.65426,310,311.142803
386.436957,218,311.98374
472.31543,215,312.828809
410.936055,186,313.552544
469.720872,214,314.374573
423.437537,192,315.11708
899.807524,482,316.969945
911.10129,322,318.212795
528.783977,308,319.399019
343.031954,158,320.038276
647.871668,246,320.988061
719.448718,335,322.292672
427.11926,212,323.13236
423.969416,187,323.855861
580.184888,230,324.740691
557.569928,207,325.539331
522.683138,297,326.681222
389.509887,171,327.34691
382.378992,192,328.091914
408.878502,200,328.862578
541.239506,249,329.822858
489.157594,208,330.629838
579.467425,257,331.620822
393.466134,195,332.371106
609.113945,211,333.210625
702.97065,298,334.363041
685.73269,250,335.327232
685.680776,263,336.342335
803.047199,411,337.93155
793.879656,306,339.124049
394.141767,196,339.881187
586.779139,234,340.793993
758.323412,295,341.943826
652.795701,269,343.017171
747.403016,296,344.162948
1260.15696,412,345.752775
805.922227,285,346.852622
642.688343,271,347.899805
890.630376,333,349.190589
605.981267,252,350.163232
869.867994,313,351.368235
570.130818,227,352.24535
830.130987,325,353.524637
1196.868266,501,355.460963
462.285825,179,356.151655
716.013949,250,357.120206
795.773058,300,358.284575
840.446337,296,359.427897
535.249437,239,360.354026
786.44866,293,361.499393
696.905016,266,362.534937
740.963577,265,363.584394
590.236298,240,364.51919
24.589234,135,365.553457
574.986523,226,367.941265
